,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,,Country
330,CJL Rogers,2008-2015,25,48,1,2015,173,42.87,5,14,1,,AUS
331,AC Hudson,1992-1998,35,63,3,2007,163,33.45,4,13,7,,SA
332,DN Sardesai,1961-1972,30,55,4,2001,212,39.23,5,9,4,,IND
333,TW Hayward,1896-1909,35,60,2,1999,137,34.46,3,12,7,,ENG
334,MA Noble,1898-1909,42,73,7,1997,133,30.25,1,16,4,,AUS
335,DL Murray,1963-1980,62,96,9,1993,91,22.90,0,11,7,,WI
336,HH Streak,1993-2005,65,107,18,1990,127*,22.35,1,11,15,,ZIM
337,AD Gaekwad,1974-1985,40,70,4,1985,201,30.07,2,10,4,,IND
338,G Pullar,1959-1963,28,49,4,1974,175,43.86,4,12,3,,ENG
339,BM McMillan,1992-1998,38,62,12,1968,113,39.36,3,13,3,,SA
340,EAB Rowan,1935-1951,26,50,5,1965,236,43.66,3,12,4,,SA
341,JM Parks,1954-1968,46,68,7,1962,108*,32.16,2,9,3,,ENG
342,BA Edgar,1978-1986,39,68,4,1958,161,30.59,3,12,7,,NZ
343,Abdul Razzaq,1999-2006,46,77,9,1946,134,28.61,3,7,4,,PAK
344,W Jaffer,2000-2008,31,58,1,1944,212,34.10,5,11,6,,IND
345,RS Kaluwitharana,1992-2004,49,78,4,1933,132*,26.12,3,9,5,,SL
346,AC MacLaren,1894-1909,35,61,4,1931,140,33.87,5,8,4,,ENG
347,L Klusener,1996-2004,49,69,11,1906,174,32.86,4,8,4,,SA
348,Yuvraj Singh,2003-2012,40,62,6,1900,169,33.92,3,11,7,,IND
349,Shoaib Malik,2001-2015,35,60,6,1898,245,35.14,3,8,6,,PAK
350,RC Russell,1988-1998,54,86,16,1897,128*,27.10,2,6,8,,ENG
351,MR Marsh,2014-2024,40,69,7,1890,181,30.48,3,8,6,,AUS
352,Salman Butt,2003-2010,33,62,0,1889,122,30.46,3,10,6,,PAK
353,PH Parfitt,1961-1972,37,52,6,1882,131*,40.91,7,6,5,,ENG
354,GRJ Matthews,1983-1993,33,53,8,1849,130,41.08,4,12,2,,AUS
355,RES Wyatt,1927-1937,40,64,6,1839,149,31.70,2,12,6,,ENG
356,R Illingworth,1958-1973,61,90,11,1836,113,23.24,2,5,7,,ENG
357,RP Arnold,1997-2004,44,69,4,1821,123,28.01,3,10,7,,SL
358,IDS Smith,1980-1992,63,88,17,1815,173,25.56,2,6,7,,NZ
359,MD Marshall,1978-1991,81,107,11,1810,92,18.85,0,10,15,,WI
360,JP Crawley,1994-2003,37,61,9,1800,156*,34.61,4,9,4,,ENG
361,DS Lehmann,1998-2004,27,42,2,1798,177,44.95,5,10,2,,AUS
362,Imrul Kayes,2008-2019,39,76,2,1797,150,24.28,3,4,4,,BAN
363,NT Paranavitana,2009-2012,32,60,5,1792,111,32.58,2,11,9,,SL
364,RJ Burns,2018-2022,32,59,0,1789,133,30.32,3,11,9,,ENG
365,MJ Horne,1997-2003,35,65,2,1788,157,28.38,4,5,4,,NZ
366,JDP Oram,2002-2009,33,59,10,1780,133,36.32,5,6,4,,NZ
367,VD Philander,2011-2020,64,94,20,1779,74,24.04,0,8,8,,SA
368,Shan Masood,2013-2024,33,62,0,1778,156,28.67,4,9,8,,PAK
369,BC Booth,1961-1966,29,48,6,1773,169,42.21,5,10,5,,AUS
370,DS Smith,2003-2018,43,76,2,1760,108,23.78,1,8,7,,WI
371,CJ Tavare,1980-1989,31,56,2,1755,149,32.50,2,12,5,,ENG
372,GA Faulkner,1906-1924,25,47,4,1754,204,40.79,4,8,2,,SA
373,WU Tharanga,2005-2017,31,58,3,1754,165,31.89,3,8,6,,SL
374,CR Woakes,2013-2023,48,79,15,1754,137*,27.40,1,6,9,,ENG
375,SD Hope,2015-2021,38,72,3,1726,147,25.01,2,5,2,,WI
376,Javed Omar,2001-2007,40,80,2,1720,119,22.05,1,8,5,,BAN
377,HH Dippenaar,1999-2007,38,62,5,1718,177*,30.14,3,7,8,,SA
378,Shahid Afridi,1998-2010,27,48,1,1716,156,36.51,5,8,6,,PAK
379,JE Emburey,1978-1995,64,96,20,1713,75,22.53,0,10,16,,ENG
380,HMRKB Herath,1999-2018,93,144,28,1699,80*,14.64,0,3,23,,SL
381,TA Blundell,2017-2024,30,50,6,1692,138,38.45,4,10,3,,NZ
382,GM Ritchie,1982-1987,30,53,5,1690,146,35.20,3,7,1,,AUS
383,KC Bland,1961-1966,21,39,5,1669,144*,49.08,3,9,2,,SA
384,MH Denness,1969-1975,28,45,3,1667,188,39.69,4,7,2,,ENG
385,BC Broad,1984-1989,25,44,2,1661,162,39.54,6,6,3,,ENG
386,JT Tyldesley,1899-1909,31,55,1,1661,138,30.75,4,9,4,,ENG
387,J Darling,1894-1905,34,60,2,1657,178,28.56,3,8,8,,AUS
388,GS Ballance,2014-2023,24,44,3,1653,156,40.31,5,7,3,,ENG/ZIM
389,J Hardstaff jnr,1935-1948,23,38,3,1636,205*,46.74,4,10,4,,ENG
390,MS Sinclair,1999-2010,33,56,5,1635,214,32.05,3,4,4,,NZ
391,WR Endean,1951-1958,28,52,4,1630,162*,33.95,3,8,3,,SA
392,RB McCosker,1975-1980,25,46,5,1622,127,39.56,4,9,5,,AUS
393,Mohammad Rizwan,2016-2024,30,48,8,1616,115*,40.40,2,9,3,,PAK
394,SV Carlisle,1995-2005,37,66,6,1615,118,26.91,2,8,7,,ZIM
395,MS Wade,2012-2021,36,63,9,1613,117,29.87,4,5,3,,AUS
396,NJ Contractor,1955-1962,31,52,1,1611,108,31.58,1,11,2,,IND
397,Yashpal Sharma,1979-1983,37,59,11,1606,140,33.45,2,9,4,,IND
398,JJ Crowe,1983-1990,39,65,4,1601,128,26.24,3,6,6,,NZ
399,RT Robinson,1984-1989,29,49,5,1601,175,36.38,4,6,5,,ENG
400,M Prabhakar,1984-1995,39,58,9,1600,120,32.65,1,9,3,,IND
401,AP Sheahan,1967-1974,31,53,6,1594,127,33.91,2,7,3,,AUS
402,WA Brown,1934-1948,22,35,1,1592,206*,46.82,4,9,1,,AUS
403,SM Patil,1980-1984,29,47,4,1588,174,36.93,4,7,4,,IND
404,SB Styris,2002-2007,29,48,4,1586,170,36.04,5,6,5,,NZ
405,SO Dowrich,2015-2020,35,62,8,1570,125*,29.07,3,9,8,,WI
406,Imam-ul-Haq,2018-2023,24,46,4,1568,157,37.33,3,9,4,,PAK
407,RH Catterall,1922-1931,24,43,2,1555,120,37.92,3,11,3,,SA
408,T Taibu,2001-2012,28,54,3,1546,153,30.31,1,12,5,,ZIM
409,E Paynter,1931-1939,20,31,5,1540,243,59.23,4,7,3,,ENG
410,PJ Hughes,2009-2013,26,49,2,1535,160,32.65,3,7,6,,AUS
411,TD Paine,2010-2021,35,57,10,1534,92,32.63,0,9,4,,AUS
412,BF Hastings,1969-1976,31,56,6,1510,117*,30.20,4,7,6,,NZ
413,KD Mackay,1956-1963,37,52,7,1507,89,33.48,0,13,6,,AUS
414,RR Lindwall,1946-1960,61,84,13,1502,118,21.15,2,5,9,,AUS
415,Qasim Umar,1983-1986,26,43,2,1502,210,36.63,3,5,2,,PAK
416,JM Parker,1973-1980,36,63,2,1498,121,24.55,3,5,4,,NZ
417,DJ Mitchell,2019-2024,21,33,5,1497,190,53.46,5,9,1,,NZ
418,RW Barber,1960-1968,28,45,3,1495,185,35.59,1,9,1,,ENG
419,Intikhab Alam,1959-1977,47,77,10,1493,138,22.28,1,8,10,,PAK
420,Yasir Hameed,2003-2010,25,49,3,1491,170,32.41,2,8,1,,PAK
421,MA Agarwal,2018-2022,21,36,0,1488,243,41.33,4,6,1,,IND
422,WB Phillips,1983-1986,27,48,2,1485,159,32.28,2,7,1,,AUS
423,AC Voges,2015-2016,20,31,7,1485,269*,61.87,5,4,2,,AUS
424,DP Conway,2021-2024,20,36,1,1480,200,42.28,4,8,3,,NZ
425,DL Houghton,1992-1997,22,36,2,1464,266,43.05,4,4,0,,ZIM
426,A Symonds,2004-2008,26,41,5,1462,162*,40.61,2,10,4,,AUS
427,NM Lyon,2011-2024,127,160,44,1455,47,12.54,0,0,17,,AUS
428,B Lee,1999-2008,76,90,18,1451,64,20.15,0,5,14,,AUS
429,Najmul Hossain Shanto,2017-2023,25,48,1,1449,163,30.82,5,3,7,,BAN
430,FJ Titmus,1955-1975,53,76,11,1449,84*,22.29,0,10,4,,ENG
431,JM Brearley,1976-1981,39,66,3,1442,91,22.88,0,9,6,,ENG
432,JA Burns,2014-2020,23,40,1,1442,180,36.97,4,7,6,,AUS
433,NR Mongia,1994-2001,44,68,8,1442,152,24.03,1,6,6,,IND
434,CEL Ambrose,1988-2000,98,145,29,1439,53,12.40,0,1,26,,WI
435,C de Grandhomme,2016-2022,29,44,7,1432,120*,38.70,2,8,6,,NZ
436,WAS Oldfield,1920-1937,54,80,17,1427,65*,22.65,0,4,9,,AUS
437,C Kelleway,1910-1928,26,42,4,1422,147,37.42,3,6,1,,AUS
438,AF Giles,1998-2006,54,81,13,1421,59,20.89,0,4,9,,ENG
439,Hon.FS Jackson,1893-1905,20,33,4,1415,144*,48.79,5,6,3,,ENG
440,MW Goodwin,1998-2000,19,37,4,1414,166*,42.84,3,8,4,,ZIM
441,RG Nadkarni,1955-1968,41,67,12,1414,122*,25.70,1,7,6,,IND
442,Khaled Mashud,2000-2007,44,84,10,1409,103*,19.04,1,3,11,,BAN
443,RT Simpson,1948-1955,27,45,3,1401,156*,33.35,4,6,6,,ENG
444,J Ryder,1920-1929,20,32,5,1394,201*,51.62,3,9,1,,AUS
445,KLT Arthurton,1988-1995,33,50,5,1382,157*,30.71,2,8,8,,WI
446,Rashid Latif,1992-2003,37,57,9,1381,150,28.77,1,7,4,,PAK
447,GP Swann,2008-2013,60,76,14,1370,85,22.09,0,5,5,,ENG
448,S Ramesh,1999-2001,19,37,1,1367,143,37.97,2,8,3,,IND
449,Wasim Bari,1967-1984,81,112,26,1366,85,15.88,0,6,19,,PAK
450,KG Viljoen,1930-1949,27,50,2,1365,124,28.43,2,9,5,,SA
451,J Dyson,1977-1984,30,58,7,1359,127*,26.64,2,5,4,,AUS
452,DJ Richardson,1992-1998,42,64,8,1359,109,24.26,1,8,7,,SA
453,WP Saha,2010-2021,40,56,10,1353,117,29.41,3,6,6,,IND
454,HL Collins,1920-1926,19,31,1,1352,203,45.06,4,6,0,,AUS
455,JM Anderson,2003-2024,184,258,111,1351,81,9.19,0,1,31,,ENG
456,Javed Burki,1960-1969,25,48,4,1341,140,30.47,3,4,3,,PAK
457,BM Laird,1979-1982,21,40,2,1341,92,35.28,0,11,2,,AUS
458,Mehidy Hasan Miraz,2016-2023,41,75,8,1338,103,19.97,1,5,6,,BAN
459,CR Ervine,2011-2023,20,40,2,1332,160,35.05,3,5,2,,ZIM
460,L Vincent,2001-2007,23,40,1,1332,224,34.15,3,9,4,,NZ
461,OG Smith,1955-1959,26,42,0,1331,168,31.69,4,6,8,,WI
462,Abdullah Shafique,2021-2024,17,32,2,1330,201,44.33,4,5,4,,PAK
463,LRD Mendis,1982-1988,24,43,1,1329,124,31.64,4,8,2,,SL
464,AK Davidson,1953-1963,44,61,7,1328,80,24.59,0,5,1,,AUS
465,SS Das,2000-2002,23,40,2,1326,110,34.89,2,9,3,,IND
466,JS Solomon,1958-1965,27,46,7,1326,100*,34.00,1,9,7,,WI
467,DJG Sammy,2007-2013,38,63,2,1323,106,21.68,1,5,8,,WI
468,RA Duff,1902-1905,22,40,3,1317,146,35.59,2,6,0,,AUS
469,N Boje,2000-2006,43,62,10,1312,85,25.23,0,4,5,,SA
470,G Fowler,1982-1985,21,37,0,1307,201,35.32,3,8,3,,ENG
471,DW Hookes,1977-1985,23,41,3,1306,143*,34.36,1,8,4,,AUS
472,MDK Perera,2014-2021,43,77,8,1303,95,18.88,0,7,14,,SL
473,CA Davis,1968-1973,15,29,5,1301,183,54.20,4,4,1,,WI
474,BW Luckhurst,1970-1974,21,41,5,1298,131,36.05,4,5,4,,ENG
475,DR Jardine,1928-1934,22,33,6,1296,127,48.00,1,10,2,,ENG
476,JF Reid,1979-1986,19,31,3,1296,180,46.28,6,2,4,,NZ
477,RL Dias,1982-1987,20,36,1,1285,109,36.71,3,8,2,,SL
478,KS More,1986-1993,49,64,14,1285,73,25.70,0,7,7,,IND
479,JW Burke,1951-1959,24,44,7,1280,189,34.59,3,5,0,,AUS
480,A Shrewsbury snr,1881-1893,23,40,4,1277,164,35.47,3,4,1,,ENG
481,UC Hathurusingha,1991-1999,26,44,1,1274,83,29.62,0,8,2,,SL
482,JD Ryder,2008-2011,18,33,2,1269,201,40.93,3,6,4,,NZ
483,Shahriar Nafees,2005-2013,24,48,0,1267,138,26.39,1,7,4,,BAN
484,V Pollard,1965-1973,32,59,7,1266,116,24.34,2,7,4,,NZ
485,RF Surti,1960-1969,26,48,4,1263,99,28.70,0,9,5,,IND
486,M Muralidaran,1992-2010,133,164,56,1261,67,11.67,0,1,33,,ICC/SL
487,BM Duckett,2016-2024,17,32,2,1252,182,41.73,2,7,2,,ENG
488,DW Steyn,2004-2019,93,119,27,1251,76,13.59,0,2,14,,SA
489,GE Gomez,1939-1954,29,46,5,1243,101,30.31,1,8,5,,WI
490,HB Cameron,1927-1935,26,45,4,1239,90,30.21,0,10,3,,SA
491,G Giffen,1881-1896,31,53,0,1238,161,23.35,1,6,5,,AUS
492,Z Khan,2000-2014,92,127,24,1231,75,11.95,0,3,29,,IND
493,DG Phadkar,1947-1959,31,45,7,1229,123,32.34,2,8,3,,IND
494,DD Ebrahim,2001-2005,29,55,1,1225,94,22.68,0,10,8,,ZIM
495,CB Fry,1896-1912,26,41,3,1223,144,32.18,2,7,3,,ENG
496,S Wettimuny,1982-1987,23,43,1,1221,190,29.07,2,6,5,,SL
497,JN Gillespie,1996-2006,71,93,28,1218,201*,18.73,1,2,13,,AUS
498,Haroon Rasheed,1977-1983,23,36,1,1217,153,34.77,3,5,2,,PAK
499,PJ Cummins,2011-2024,60,85,12,1216,64*,16.65,0,3,13,,AUS
500,AT Carey,2021-2024,30,43,4,1214,111,31.12,1,7,3,,AUS
501,G Miller,1976-1984,34,51,4,1213,98*,25.80,0,7,5,,ENG
502,VS Ransford,1907-1912,20,38,6,1211,143*,37.84,1,7,2,,AUS
503,SA Durani,1960-1973,29,50,2,1202,104,25.04,1,7,4,,IND
504,Shubman Gill,2020-2024,22,41,3,1201,128,31.60,3,4,3,,IND
505,DN Patel,1987-1997,37,66,8,1200,99,20.68,0,5,10,,NZ
506,MW Tate,1924-1935,39,52,5,1198,100*,25.48,1,5,5,,ENG
507,AF Kippax,1925-1934,22,34,1,1192,146,36.12,2,8,1,,AUS
508,JHW Fingleton,1932-1938,18,29,1,1189,136,42.46,5,3,3,,AUS
509,Sikandar Raza,2013-2021,17,33,0,1187,127,35.96,1,8,3,,ZIM
510,CP Mead,1911-1928,17,26,2,1185,182*,49.37,4,3,3,,ENG
511,P Willey,1976-1986,26,50,6,1184,102*,26.90,2,5,2,,ENG
512,SC Williams,1994-2002,31,52,3,1183,128,24.14,1,3,6,,WI
513,HC Brook,2022-2023,12,20,1,1181,186,62.15,4,7,1,,ENG
514,Abid Ali,2019-2021,16,26,2,1180,215*,49.16,4,3,2,,PAK
515,GS Ramchand,1952-1960,33,53,5,1180,109,24.58,2,5,6,,IND
516,MDKJ Perera,2015-2021,22,41,3,1177,153*,30.97,2,7,5,,SL
517,KAJ Roach,2009-2024,81,129,27,1174,41,11.50,0,0,20,,WI
518,MTG Elliott,1996-2004,21,36,1,1172,199,33.48,3,4,5,,AUS
519,GO Jones,2004-2006,34,53,4,1172,100,23.91,1,6,2,,ENG
520,Rev.DS Sheppard,1950-1963,22,33,2,1172,119,37.80,3,6,2,,ENG
521,R Edwards,1972-1975,20,32,3,1171,170*,40.37,2,9,4,,AUS
522,MJ North,2009-2010,21,35,2,1171,128,35.48,5,4,5,,AUS
523,PM Siddle,2008-2019,67,94,15,1164,51,14.73,0,2,17,,AUS
524,RW Taylor,1971-1984,57,83,12,1156,97,16.28,0,3,10,,ENG
525,BW Sinclair,1963-1968,21,40,1,1148,138,29.43,3,3,5,,NZ
526,JM Gregory,1920-1928,24,34,3,1146,119,36.96,2,7,3,,AUS
527,MG Vandort,2001-2008,20,33,2,1144,140,36.90,4,4,3,,SL
528,JA Raval,2016-2020,24,39,1,1143,132,30.07,1,7,3,,NZ
529,Rajin Saleh,2003-2008,24,46,2,1141,89,25.93,0,7,8,,BAN
530,C Green,2020-2024,26,39,4,1139,114,32.54,1,6,3,,AUS
531,KA Maharaj,2016-2024,50,80,6,1135,84,15.33,0,5,12,,SA
532,DT Lindsay,1963-1970,19,31,1,1130,182,37.66,3,5,2,,SA
533,MC Carew,1963-1972,19,36,3,1127,109,34.15,1,5,1,,WI
534,Faisal Iqbal,2001-2010,26,44,2,1124,139,26.76,1,8,4,,PAK
535,G Gunn,1907-1930,15,29,1,1120,122*,40.00,2,7,3,,ENG
536,AC Bannerman,1879-1893,28,50,2,1108,94,23.08,0,8,3,,AUS
537,CC Lewis,1990-1996,32,51,3,1105,117,23.02,1,4,6,,ENG
538,IK Pathan,2003-2008,29,40,5,1105,102,31.57,1,6,5,,IND
539,BP Nash,2008-2011,21,33,0,1103,114,33.42,2,8,0,,WI
540,CJ Barnett,1933-1948,20,35,4,1098,129,35.41,2,5,1,,ENG
541,WG Grace,1880-1899,22,36,2,1098,170,32.29,2,5,2,,ENG
542,CB Wishart,1995-2005,27,50,1,1098,114,22.40,1,5,6,,ZIM
543,Alimuddin,1954-1962,25,45,2,1091,109,25.37,2,7,6,,PAK
544,BOP Fernando,2019-2023,21,37,4,1091,102,33.06,1,7,2,,SL
545,VG Kambli,1993-1995,17,21,1,1084,227,54.20,4,3,3,,IND
546,PSP Handscomb,2016-2023,20,35,6,1079,110,37.20,2,5,2,,AUS
547,DJ Malan,2017-2022,22,39,0,1074,140,27.53,1,9,2,,ENG
548,AMJ Hilditch,1979-1985,18,34,0,1073,119,31.55,2,6,3,,AUS
549,SG Barnes,1938-1948,13,19,2,1072,234,63.05,3,5,1,,AUS
550,Waqar Hasan,1952-1959,21,35,1,1071,189,31.50,1,6,0,,PAK
551,JH Sinclair,1896-1911,25,47,1,1069,106,23.23,3,3,7,,SA
552,ED Solkar,1969-1977,27,48,6,1068,102,25.42,1,6,1,,IND
553,JKC Holt,1954-1959,17,31,2,1066,166,36.75,2,5,2,,WI
554,RW Chakabva,2011-2021,22,43,4,1061,101,27.20,1,5,3,,ZIM
555,Mohammad Rafique,2000-2008,33,63,6,1059,111,18.57,1,4,8,,BAN
556,RA Woolmer,1975-1981,19,34,2,1059,149,33.09,3,2,4,,ENG
557,Saleem Yousuf,1982-1990,32,44,5,1055,91*,27.05,0,5,2,,PAK
558,C White,1994-2002,30,50,7,1052,121,24.46,1,5,8,,ENG
559,Sarfraz Nawaz,1969-1984,55,72,13,1045,90,17.71,0,4,6,,PAK
560,Nasir Hossain,2011-2017,19,32,2,1044,100,34.80,1,6,2,,BAN
561,S Madan Lal,1974-1986,39,62,16,1042,74,22.65,0,5,7,,IND
562,DP Sibley,2019-2021,22,39,3,1042,133*,28.94,2,5,6,,ENG
563,DR Flynn,2008-2013,24,45,5,1038,95,25.95,0,6,8,,NZ
564,SC Williams,2013-2021,14,27,2,1034,151*,41.36,4,3,0,,ZIM
565,MG Hughes,1985-1994,53,70,8,1032,72*,16.64,0,2,10,,AUS
566,Abdul Qadir,1977-1990,67,77,11,1029,61,15.59,0,3,7,,PAK
567,RS Madugalle,1982-1988,21,39,4,1029,103,29.40,1,7,4,,SL
568,KD Karthik,2004-2018,26,42,1,1025,129,25.00,1,7,4,,IND
569,GJ Rennie,1997-2002,23,46,1,1023,93,22.73,0,7,5,,ZIM
570,S Abid Ali,1967-1974,29,53,3,1018,81,20.36,0,6,3,,IND
571,AF Rae,1948-1953,15,24,2,1016,109,46.18,4,4,1,,WI
572,BT Foakes,2018-2024,22,40,7,1014,113*,30.72,2,4,3,,ENG
573,Fawad Alam,2009-2022,19,30,4,1011,168,38.88,5,2,3,,PAK
574,KJ Wadsworth,1969-1976,33,51,4,1010,80,21.48,0,5,5,,NZ
575,Waqar Younis,1989-2003,87,120,21,1010,45,10.20,0,0,21,,PAK
576,J Srinath,1991-2002,67,92,21,1009,76,14.21,0,4,13,,IND
577,SJ Snooke,1906-1923,26,46,1,1008,103,22.40,1,5,1,,SA
578,Umar Akmal,2009-2011,16,30,2,1003,129,35.82,1,6,1,,PAK
579,PV Simmons,1988-1997,26,47,2,1002,110,22.26,1,4,4,,WI
580,JG Bracewell,1980-1990,41,60,11,1001,110,20.42,1,4,13,,NZ
581,EJM Cowan,2011-2013,18,32,0,1001,136,31.28,1,6,2,,AUS
582,IWG Johnson,1946-1956,45,66,12,1000,77,18.51,0,6,10,,AUS
583,JM Taylor,1920-1926,20,28,0,997,108,35.60,1,8,1,,AUS
584,AE Stoddart,1888-1898,16,30,2,996,173,35.57,2,3,3,,ENG
585,KS Duleepsinhji,1929-1931,12,19,2,995,173,58.52,3,5,0,,ENG
586,J Da Silva,2020-2024,26,45,7,992,100*,26.10,1,4,4,,WI
587,AV Mankad,1969-1978,22,42,3,991,97,25.41,0,6,3,,IND
588,GE Tyldesley,1921-1929,14,20,2,990,122,55.00,3,6,2,,ENG
589,KS Ranjitsinhji,1896-1902,15,26,4,989,175,44.95,2,6,2,,ENG
590,LC Braund,1901-1908,23,41,3,987,104,25.97,3,2,7,,ENG
591,KA Edwards,2011-2014,17,32,1,986,121,31.80,2,8,4,,WI
592,R Subba Row,1958-1961,13,22,1,984,137,46.85,3,4,0,,ENG
593,JW Zulch,1910-1921,16,32,2,983,150,32.76,2,4,0,,SA
594,Ahmed Shehzad,2013-2017,13,25,1,982,176,40.91,3,4,1,,PAK
595,BK Kunderan,1960-1967,18,34,4,981,192,32.70,2,3,1,,IND
596,FS Trueman,1952-1965,67,85,14,981,39*,13.81,0,0,11,,ENG
597,B Yardley,1978-1983,33,54,4,978,74,19.56,0,4,8,,AUS
598,IJ Siedle,1928-1936,18,34,0,977,141,28.73,1,5,3,,SA
599,BP Patel,1974-1977,21,38,5,972,115*,29.45,1,5,0,,IND
600,Junaid Siddique,2008-2012,19,37,0,969,106,26.18,1,7,2,,BAN
601,PG Fulton,2006-2014,23,39,1,967,136,25.44,2,5,3,,NZ
602,Saud Shakeel,2022-2024,10,19,3,967,208*,60.43,2,6,0,,PAK
603,JWHT Douglas,1911-1925,23,35,2,962,119,29.15,1,6,3,,ENG
604,FCM Alexander,1957-1961,25,38,6,961,108,30.03,1,7,5,,WI
605,SA Thomson,1990-1995,19,35,4,958,120*,30.90,1,5,3,,NZ
606,PS McDonnell,1880-1888,19,34,1,955,147,28.93,3,2,6,,AUS
607,PR Reiffel,1992-1998,35,50,14,955,79*,26.52,0,6,5,,AUS
608,CA Roach,1928-1935,16,32,1,952,209,30.70,2,6,6,,WI
609,KR Mayers,2021-2023,18,32,3,949,210*,32.72,2,2,5,,WI
610,G Ulyett,1877-1890,25,39,0,949,149,24.33,1,7,6,,ENG
611,GD McKenzie,1961-1971,60,89,12,945,76,12.27,0,2,15,,AUS
612,M Morkel,2006-2018,86,104,23,944,40,11.65,0,0,22,,SA
613,CJ McDermott,1984-1996,71,90,13,940,42*,12.20,0,0,13,,AUS
614,DL Underwood,1966-1982,86,116,35,937,45*,11.56,0,0,19,,ENG
615,CA Walsh,1984-2001,132,185,61,936,30*,7.54,0,0,43,,WI
616,PAJ DeFreitas,1986-1995,44,68,5,934,88,14.82,0,4,10,,ENG
617,RAS Lakmal,2010-2022,70,109,25,934,42,11.11,0,0,21,,SL
618,PA Patel,2002-2018,25,38,8,934,71,31.13,0,6,4,,IND
619,Asif Mujtaba,1986-1997,25,41,3,928,65*,24.42,0,8,5,,PAK
620,BL Cairns,1974-1985,43,65,8,928,64,16.28,0,2,7,,NZ
621,AH Kardar,1946-1958,26,42,3,927,93,23.76,0,5,2,,IND/PAK
622,Saqlain Mushtaq,1995-2004,49,78,14,927,101*,14.48,1,2,13,,PAK
623,APF Chapman,1924-1931,26,36,4,925,121,28.90,1,5,2,,ENG
624,DS Atkinson,1948-1958,22,35,6,922,219,31.79,1,5,4,,WI
625,CM Spearman,1995-2000,19,37,2,922,112,26.34,1,3,3,,NZ
626,GHS Trott,1888-1898,24,42,0,921,143,21.92,1,4,7,,AUS
627,CWJ Athey,1980-1988,23,41,1,919,123,22.97,1,4,2,,ENG
628,DA Allen,1960-1966,39,51,15,918,88,25.50,0,5,4,,ENG
629,JR Murray,1993-2002,33,45,4,918,101*,22.39,1,3,9,,WI
630,Yasir Shah,2014-2022,48,72,7,918,113,14.12,1,0,11,,PAK
631,KD Ghavri,1974-1981,39,57,14,913,86,21.23,0,2,2,,IND
632,MA Holding,1975-1987,60,76,10,910,73,13.78,0,6,15,,WI
633,CAG Russell,1920-1923,10,18,2,910,140,56.87,5,2,2,,ENG
634,WL Murdoch,1877-1892,19,34,5,908,211,31.31,2,1,3,,AUS/ENG
635,DK Lillee,1971-1984,70,90,24,905,73*,13.71,0,1,10,,AUS
636,K Rabada,2015-2024,62,96,17,905,47,11.45,0,0,19,,SA
637,HE van der Dussen,2019-2022,18,32,2,905,98,30.16,0,6,3,,SA
638,AFA Lilley,1896-1909,35,52,8,903,84,20.52,0,4,10,,ENG
639,PA Jaques,2005-2008,11,19,0,902,150,47.47,3,6,1,,AUS
640,Azhar Mahmood,1997-2001,21,34,4,900,136,30.00,3,1,5,,PAK
641,BR Taylor,1965-1973,30,50,6,898,124,20.40,2,2,8,,NZ
642,GJ Cosier,1975-1978,18,32,1,897,168,28.93,2,3,3,,AUS
643,RJ Christiani,1948-1954,22,37,3,896,107,26.35,1,4,0,,WI
644,GF Lawson,1980-1989,46,68,12,894,74,15.96,0,4,6,,AUS
645,A Melville,1938-1949,11,19,2,894,189,52.58,4,3,2,,SA
646,PM Toohey,1977-1980,15,29,1,893,122,31.89,1,7,3,,AUS
647,SN McGregor,1955-1965,25,47,2,892,111,19.82,1,3,5,,NZ
648,ATW Grout,1957-1966,51,67,8,890,74,15.08,0,3,11,,AUS
649,JD Campbell,2019-2022,20,40,6,888,68,26.11,0,3,2,,WI
650,DB Close,1949-1976,22,37,2,887,70,25.34,0,4,3,,ENG
651,AM Blignaut,2001-2005,19,36,3,886,92,26.84,0,6,6,,ZIM
652,JE Cheetham,1949-1955,24,43,6,883,89,23.86,0,5,1,,SA
653,JDB Robertson,1947-1952,11,21,2,881,133,46.36,2,6,0,,ENG
654,A Sandham,1921-1930,14,23,0,879,325,38.21,2,3,3,,ENG
655,W Watson,1951-1959,23,37,3,879,116,25.85,2,3,3,,ENG
656,L Amarnath,1933-1952,24,40,4,878,118,24.38,1,4,5,,IND
657,PH Edmonds,1975-1987,51,65,15,875,64,17.50,0,2,5,,ENG
658,N Wagner,2012-2024,64,84,24,875,66*,14.58,0,1,17,,NZ
659,H Carter,1907-1921,28,47,9,873,72,22.97,0,4,4,,AUS
660,HR Adhikari,1947-1959,21,36,8,872,114*,31.14,1,4,5,,IND
661,GC White,1906-1912,17,31,2,872,147,30.06,2,4,3,,SA
662,HDPK Dharmasena,1993-2004,31,51,7,868,62*,19.72,0,3,4,,SL
663,BD Julien,1973-1977,24,34,6,866,121,30.92,2,3,0,,WI
664,DG Cork,1995-2002,37,56,8,864,59,18.00,0,3,5,,ENG
665,HJ Tayfield,1949-1960,37,60,9,862,75,16.90,0,2,5,,SA
666,AR Caddick,1993-2003,62,95,12,861,49*,10.37,0,0,19,,ENG
667,GRJ Roope,1973-1978,21,32,4,860,77,30.71,0,7,3,,ENG
668,JDC Goddard,1948-1957,27,39,11,859,83*,30.67,0,4,5,,WI
