,Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,,Country
75,ME Trescothick,2000-2006,76,143,10,5825,219,43.79,14,29,12,,ENG
76,DCS Compton,1937-1957,78,131,15,5807,278,50.06,17,28,10,,ENG
77,Saleem Malik,1982-1999,103,154,22,5768,237,43.69,15,29,12,,PAK
78,N Hussain,1990-2004,96,171,16,5764,207,37.18,14,33,14,,ENG
79,CL Hooper,1987-2002,102,173,15,5762,233,36.46,13,27,13,,WI
80,MP Vaughan,1999-2008,82,147,9,5719,197,41.44,18,18,9,,ENG
81,Mushfiqur Rahim,2005-2023,88,163,14,5676,219*,38.09,10,27,12,,BAN
82,AC Gilchrist,1999-2008,96,137,20,5570,204*,47.60,17,26,14,,AUS
83,MV Boucher,1997-2012,147,206,24,5515,125,30.30,5,35,17,,ICC/SA
84,KC Brathwaite,2011-2024,89,171,10,5513,212,34.24,12,29,16,,WI
85,MS Atapattu,1990-2007,90,156,15,5502,249,39.02,16,17,22,,SL
86,TM Dilshan,1999-2013,87,145,11,5492,193,40.98,16,23,14,,SL
87,TT Samaraweera,2001-2013,81,132,20,5462,231,48.76,14,30,11,,SL
88,MD Crowe,1982-1995,77,131,11,5444,299,45.36,17,18,9,,NZ
89,JB Hobbs,1908-1930,61,102,7,5410,211,56.94,15,28,4,,ENG
90,LD Chandimal,2011-2024,77,138,15,5402,206*,43.91,15,25,5,,SL
91,UT Khawaja,2011-2024,71,127,12,5363,195*,46.63,15,26,8,,AUS
92,KD Walters,1965-1981,74,125,14,5357,250,48.26,15,33,4,,AUS
93,D Elgar,2012-2024,86,152,11,5347,199,37.92,14,23,13,,SA
94,IM Chappell,1964-1980,75,136,10,5345,196,42.42,14,26,11,,AUS
95,JG Wright,1978-1993,82,148,7,5334,185,37.82,12,23,7,,NZ
96,MJ Slater,1993-2001,74,131,7,5312,219,42.83,14,21,9,,AUS
97,TWM Latham,2014-2024,78,137,6,5264,264*,40.18,13,27,11,,NZ
98,N Kapil Dev,1978-1994,131,184,15,5248,163,31.05,8,27,16,,IND
99,WM Lawry,1961-1971,67,123,12,5234,210,47.15,13,27,6,,AUS
100,Misbah-ul-Haq,2001-2017,75,132,20,5222,161*,46.62,10,39,9,,PAK
101,IT Botham,1977-1992,102,161,6,5200,208,33.54,14,22,14,,ENG
102,JH Edrich,1963-1976,77,127,9,5138,310*,43.54,12,24,6,,ENG
103,Tamim Iqbal,2008-2023,70,134,2,5134,206,38.89,10,31,11,,BAN
104,A Ranatunga,1982-2000,93,155,12,5105,135*,35.69,4,38,12,,SL
105,AM Rahane,2013-2023,85,144,12,5077,188,38.46,12,26,10,,IND
106,Zaheer Abbas,1969-1985,78,124,11,5062,274,44.79,12,20,10,,PAK
107,TW Graveney,1951-1969,79,123,13,4882,258,44.38,11,20,8,,ENG
108,MS Dhoni,2005-2014,90,144,16,4876,224,38.09,6,33,10,,IND
109,RB Simpson,1957-1978,62,111,7,4869,311,46.81,10,27,8,,AUS
110,A Flower,1992-2002,63,112,19,4794,232*,51.54,12,27,5,,ZIM
111,IR Redpath,1964-1976,66,120,11,4737,171,43.45,8,31,9,,AUS
112,NJ Astle,1996-2006,81,137,10,4702,222,37.02,11,24,11,,NZ
113,Asad Shafiq,2010-2020,77,128,6,4660,137,38.19,12,27,13,,PAK
114,AJ Lamb,1982-1992,79,139,10,4656,142,36.09,14,18,9,,ENG
115,H Sutcliffe,1924-1935,54,84,9,4555,194,60.73,16,23,2,,ENG
116,DJ Cullinan,1993-2001,70,115,12,4554,275*,44.21,14,20,10,,SA
117,HP Tillakaratne,1989-2004,83,131,25,4545,204*,42.87,11,20,9,,SL
118,PBH May,1951-1961,66,106,9,4537,285*,46.77,13,22,8,,ENG
119,DL Vettori,1997-2014,113,174,23,4531,140,30.00,6,23,20,,ICC/NZ
120,ER Dexter,1958-1968,62,102,8,4502,205,47.89,9,27,6,,ENG
121,ED Weekes,1948-1958,48,81,5,4455,207,58.61,15,19,6,,WI
122,Shakib Al Hasan,2007-2023,66,121,7,4454,217,39.07,5,31,5,,BAN
123,KJ Hughes,1977-1984,70,124,6,4415,213,37.41,9,22,10,,AUS
124,MW Gatting,1978-1995,79,138,14,4409,207,35.55,10,21,16,,ENG
125,DR Martyn,1992-2006,67,109,14,4406,165,46.37,13,23,7,,AUS
126,AI Kallicharran,1972-1981,66,109,10,4399,187,44.43,12,21,10,,WI
127,APE Knott,1967-1981,95,149,15,4389,135,32.75,5,30,8,,ENG
128,M Amarnath,1969-1988,69,113,10,4378,138,42.50,11,24,12,,IND
129,IA Healy,1988-1999,119,182,23,4356,161*,27.39,4,22,18,,AUS
130,RC Fredericks,1968-1977,59,109,7,4334,169,42.49,8,26,7,,WI
131,MA Butcher,1997-2004,71,131,7,4288,173*,34.58,8,23,10,,ENG
132,PD Collingwood,2003-2011,68,115,10,4259,206,40.56,10,20,6,,ENG
133,RA Smith,1988-1996,62,112,15,4236,175,43.67,9,28,8,,ENG
134,SM Katich,2001-2010,56,99,6,4188,157,45.03,10,25,4,,AUS
135,F du Plessis,2012-2021,69,118,14,4163,199,40.02,10,21,9,,SA
136,G Gambhir,2004-2016,58,104,5,4154,206,41.95,9,22,7,,IND
137,Mudassar Nazar,1976-1989,76,116,8,4114,231,38.09,10,17,7,,PAK
138,MJ Prior,2007-2014,79,123,21,4099,131*,40.18,7,28,13,,ENG
