id	name	nation	era	primaryRole
gundappa-viswanath	Gundappa Viswanath	India	1970s	middle-order
habibul-bashar	Habibul Bashar	Bangladesh	2000s	middle-order
hamilton-masakadza	Hamilton Masakadza	Zimbabwe	2000s	opener
hamish-rutherford	Hamish Rutherford	New Zealand	2010s	opener
hanif-mohammad	Hanif Mohammad	Pakistan	legends	opener
hansie-cronje	Hansie Cronje	South Africa	1990s	middle-order
harry-brook	Harry Brook	England	2020s	middle-order
hashan-tillakaratne	Hashan Tillakaratne	Sri Lanka	1990s	wicketkeeper
hashim-amla	Hashim Amla	South Africa	2000s	middle-order
heath-streak	Heath Streak	Zimbabwe	1990s	all-rounder
henry-nicholls	Henry Nicholls	New Zealand	2010s	middle-order
herschelle-gibbs	Herschelle Gibbs	South Africa	1990s	opener
ian-bell	Ian Bell	England	2000s	middle-order
ian-botham	Ian Botham	England	legends	all-rounder
ian-chappell	Ian Chappell	Australia	1970s	opener
ian-healy	Ian Healy	Australia	1990s	wicketkeeper
ian-smith	Ian Smith	New Zealand	1980s	wicketkeeper
imam-ul-haq	Imam-ul-Haq	Pakistan	2020s	opener
imran-farhat	Imran Farhat	Pakistan	2000s	opener
imran-khan	Imran Khan	Pakistan	legends	all-rounder
imrul-kayes	Imrul Kayes	Bangladesh	2010s	opener
innocent-kaia	Innocent Kaia	Zimbabwe	2020s	opener
intikhab-alam	Intikhab Alam	Pakistan	1970s	all-rounder
inzamam-ul-haq	Inzamam-ul-Haq	Pakistan	1990s	middle-order
irfan-pathan	Irfan Pathan	India	2000s	all-rounder
jack-hobbs	Jack Hobbs	England	legends	opener
jack-russell	Jack Russell	England	1980s	wicketkeeper
jacques-kallis	Jacques Kallis	South Africa	legends	all-rounder
jake-weatherald	Jake Weatherald	Australia	2020s	opener
james-franklin	James Franklin	New Zealand	2000s	all-rounder
jason-holder	Jason Holder	West Indies	2010s	all-rounder
javed-miandad	Javed Miandad	Pakistan	legends	middle-order
javed-omar	Javed Omar	Bangladesh	2000s	opener
jeff-dujon	Jeff Dujon	West Indies	legends	wicketkeeper
jeremy-coney	Jeremy Coney	New Zealand	1980s	middle-order
jermaine-blackwood	Jermaine Blackwood	West Indies	2010s	middle-order
jimmy-adams	Jimmy Adams	West Indies	1990s	middle-order
joe-burns	Joe Burns	Australia	2010s	opener
joe-root	Joe Root	England	2010s	middle-order
john-campbell	John Campbell	West Indies	2020s	opener
john-edrich	John Edrich	England	1970s	opener
john-wright	John Wright	New Zealand	1970s	opener
jonny-bairstow	Jonny Bairstow	England	2010s	middle-order
jonty-rhodes	Jonty Rhodes	South Africa	1990s	middle-order
jos-buttler	Jos Buttler	England	2010s	wicketkeeper
joshua-da-silva	Joshua Da Silva	West Indies	2020s	wicketkeeper
junior-murray	Junior Murray	West Indies	1990s	wicketkeeper
justin-langer	Justin Langer	Australia	1990s	opener
kamindu-mendis	Kamindu Mendis	Sri Lanka	2020s	middle-order
kamran-akmal	Kamran Akmal	Pakistan	2000s	wicketkeeper
kane-williamson	Kane Williamson	New Zealand	2010s	middle-order
kapil-dev	Kapil Dev	India	legends	all-rounder
kavem-hodge	Kavem Hodge	West Indies	2020s	middle-order
keaton-jennings	Keaton Jennings	England	2010s	opener
keith-fletcher	Keith Fletcher	England	1970s	middle-order
keith-stackpole	Keith Stackpole	Australia	1970s	middle-order
ken-wadsworth	Ken Wadsworth	New Zealand	1970s	wicketkeeper
kepler-wessels	Kepler Wessels	Australia	1980s	opener
kevin-pietersen	Kevin Pietersen	England	2000s	middle-order
kieran-powell	Kieran Powell	West Indies	2010s	opener
kiran-more	Kiran More	India	1980s	wicketkeeper
kl-rahul	KL Rahul	India	2010s	opener
kraigg-brathwaite	Kraigg Brathwaite	West Indies	2010s	opener
kris-srikkanth	Kris Srikkanth	India	1980s	opener
kumar-dharmasena	Kumar Dharmasena	Sri Lanka	1990s	all-rounder
kumar-sangakkara	Kumar Sangakkara	Sri Lanka	legends	middle-order
kusal-mendis	Kusal Mendis	Sri Lanka	2010s	middle-order
kyle-verreynne	Kyle Verreynne	South Africa	2020s	wicketkeeper
lahiru-thirimanne	Lahiru Thirimanne	Sri Lanka	2010s	opener
lance-klusener	Lance Klusener	South Africa	1990s	all-rounder
larry-gomes	Larry Gomes	West Indies	1970s	middle-order
len-hutton	Len Hutton	England	legends	opener
liton-das	Liton Das	Bangladesh	2010s	wicketkeeper
lou-vincent	Lou Vincent	New Zealand	2000s	opener
mahela-jayawardene	Mahela Jayawardene	Sri Lanka	2000s	middle-order
mahmudul-hasan-joy	Mahmudul Hasan Joy	Bangladesh	2020s	opener
mahmudullah	Mahmudullah	Bangladesh	2010s	all-rounder
majid-khan	Majid Khan	Pakistan	1970s	opener
manoj-prabhakar	Manoj Prabhakar	India	1980s	all-rounder
marco-jansen	Marco Jansen	South Africa	2020s	all-rounder
marcus-trescothick	Marcus Trescothick	England	2000s	opener
mark-boucher	Mark Boucher	South Africa	2000s	wicketkeeper
mark-burgess	Mark Burgess	New Zealand	1970s	middle-order
mark-greatbatch	Mark Greatbatch	New Zealand	1990s	opener
mark-ramprakash	Mark Ramprakash	England	1990s	middle-order
mark-richardson	Mark Richardson	New Zealand	2000s	opener
mark-taylor	Mark Taylor	Australia	1990s	opener
mark-waugh	Mark Waugh	Australia	1990s	middle-order
marlon-samuels	Marlon Samuels	West Indies	2000s	middle-order
marnus-labuschagne	Marnus Labuschagne	Australia	2020s	middle-order
