id	name	nation	era	primaryRole
jerome-taylor	Jerome Taylor	West Indies	2000s	fast-bowler
jim-laker	Jim Laker	England	legends	spinner
joel-garner	Joel Garner	West Indies	1970s	fast-bowler
jofra-archer	Jofra Archer	England	2020s	fast-bowler
john-emburey	John Emburey	England	1980s	spinner
john-snow	John Snow	England	1970s	fast-bowler
jomel-warrican	Jomel Warrican	West Indies	2010s	spinner
josh-hazlewood	Josh Hazlewood	Australia	2010s	fast-bowler
kagiso-rabada	Kagiso Rabada	South Africa	2010s	fast-bowler
kapil-dev	Kapil Dev	India	legends	all-rounder
karsan-ghavri	Karsan Ghavri	India	1970s	fast-bowler
kasun-rajitha	Kasun Rajitha	Sri Lanka	2020s	fast-bowler
kemar-roach	Kemar Roach	West Indies	2010s	fast-bowler
keshav-maharaj	Keshav Maharaj	South Africa	2010s	spinner
kuldeep-yadav	Kuldeep Yadav	India	2020s	spinner
kumar-dharmasena	Kumar Dharmasena	Sri Lanka	1990s	all-rounder
kurram-shahzad	Kurram Shahzad	Pakistan	2020s	fast-bowler
kyle-jamieson	Kyle Jamieson	New Zealand	2020s	fast-bowler
kyle-jarvis	Kyle Jarvis	Zimbabwe	2010s	fast-bowler
kyle-mills	Kyle Mills	New Zealand	2000s	fast-bowler
lahiru-kumara	Lahiru Kumara	Sri Lanka	2020s	fast-bowler
lance-klusener	Lance Klusener	South Africa	1990s	all-rounder
lasith-malinga	Lasith Malinga	Sri Lanka	2000s	fast-bowler
lungi-ngidi	Lungi Ngidi	South Africa	2020s	fast-bowler
madan-lal	Madan Lal	India	1970s	fast-bowler
mahmudullah	Mahmudullah	Bangladesh	2010s	all-rounder
makhaya-ntini	Makhaya Ntini	South Africa	2000s	fast-bowler
malcolm-marshall	Malcolm Marshall	West Indies	legends	fast-bowler
maninder-singh	Maninder Singh	India	1980s	spinner
manoj-prabhakar	Manoj Prabhakar	India	1980s	all-rounder
marco-jansen	Marco Jansen	South Africa	2020s	all-rounder
mark-wood	Mark Wood	England	2010s	fast-bowler
martin-snedden	Martin Snedden	New Zealand	1980s	fast-bowler
mashrafe-mortaza	Mashrafe Mortaza	Bangladesh	2000s	fast-bowler
matt-henry	Matt Henry	New Zealand	2010s	fast-bowler
matthew-hoggard	Matthew Hoggard	England	2000s	fast-bowler
matthew-kuhnemann	Matthew Kuhnemann	Australia	2020s	spinner
max-walker	Max Walker	Australia	1970s	all-rounder
mehidy-hasan	Mehidy Hasan	Bangladesh	2010s	spinner
merv-hughes	Merv Hughes	Australia	1980s	fast-bowler
mervyn-dillon	Mervyn Dillon	West Indies	2000s	fast-bowler
michael-holding	Michael Holding	West Indies	1970s	fast-bowler
mike-hendrick	Mike Hendrick	England	1970s	fast-bowler
mitchell-santner	Mitchell Santner	New Zealand	2010s	spinner
mitchell-starc	Mitchell Starc	Australia	2010s	fast-bowler
moeen-ali	Moeen Ali	England	2010s	all-rounder
mohammad-abbas 	Mohammad  Abbas 	Pakistan	2020s	fast-bowler
mohammad-amir	Mohammad AMir	Pakistan	2010s	fast-bowler
mohammad-asif	Mohammad Asif	Pakistan	2000s	fast-bowler
mohammad-hafeez	Mohammad Hafeez	Pakistan	2010s	all-rounder
mohammad-rafique	Mohammad Rafique	Bangladesh	2000s	spinner
mohammed-shami	Mohammed Shami	India	2010s	fast-bowler
mohammed-siraj	Mohammed Siraj	India	2020s	fast-bowler
monty-panesar	Monty Panesar	England	2000s	spinner
morne-morkel	Morne Morkel	South Africa	2000s	fast-bowler
mpumelelo-mbangwa	Mpumelelo Mbangwa	Zimbabwe	1990s	fast-bowler
mushtaq-ahmed	Mushtaq Ahmed	Pakistan	1990s	spinner
mushtaq-mohammad	Mushtaq Mohammad	Pakistan	1970s	all-rounder
mustafizur-rahman	Mustafizur Rahman	Bangladesh	2010s	fast-bowler
muttiah-muralitharan	Muttiah Muralitharan	Sri Lanka	legends	spinner
naseem-shah	Naseem Shah	Pakistan	2020s	fast-bowler
nathan-hauritz	Nathan Hauritz	Australia	2010s	spinner
nathan-lyon	Nathan Lyon	Australia	2010s	spinner
nauman-ali	Nauman Ali	Pakistan	2020s	spinner
nayeem-hasan	Nayeem Hasan	Bangladesh	2020s	spinner
neil-foster	Neil Foster	England	1980s	fast-bowler
neil-wagner	Neil Wagner	New Zealand	2010s	fast-bowler
nicky-boje	Nicky Boje	South Africa	2000s	spinner
nuwan-pradeep	Nuwan Pradeep	Sri Lanka	2010s	fast-bowler
ollie-robinson	Ollie Robinson	England	2020s	fast-bowler
pat-cummins	Pat Cummins	Australia	2010s	fast-bowler
paul-adams	Paul Adams	South Africa	1990s	spinner
paul-strang	Paul Strang	Zimbabwe	1990s	all-rounder
peter-siddle	Peter Siddle	Australia	2010s	fast-bowler
phil-edmonds	Phil Edmonds	England	1980s	spinner
phil-tufnell	Phil Tufnell	England	1990s	spinner
prabath-jayasuriya	Prabath Jayasuriya	Sri Lanka	2020s	spinner
